,id,price,quoteQty,isBestMatch,qty,isBuyerMaker,pricepct,pricesign,target
9950,163641668,95.3,1870.739,True,19.63,True,0.0,0.0,-1.0
9949,163641669,95.29,254.4243,True,2.67,True,-0.00010493179433357369,-1.0,-1.0
9948,163641670,95.29,2581.4061,True,27.09,True,0.0,0.0,-1.0
9947,163641671,95.29,144.8408,True,1.52,True,0.0,0.0,-1.0
9946,163641672,95.28,12.3864,True,0.13,True,-0.00010494280617068252,-1.0,-1.0
9945,163641673,95.28,191.5128,True,2.01,True,0.0,0.0,-1.0
9944,163641674,95.28,22.8672,True,0.24,True,0.0,0.0,-1.0
9943,163641675,95.28,20.0088,True,0.21,True,0.0,0.0,-1.0
9942,163641676,95.28,26.6784,True,0.28,True,0.0,0.0,-1.0
9941,163641677,95.28,24.7728,True,0.26,True,0.0,0.0,-1.0
9940,163641678,95.28,48.5928,True,0.51,True,0.0,0.0,-1.0
9939,163641679,95.28,28.584,True,0.3,True,0.0,0.0,-1.0
9938,163641680,95.28,180.0792,True,1.89,True,0.0,0.0,-1.0
9937,163641681,95.28,75.2712,True,0.79,True,0.0,0.0,-1.0
9936,163641682,95.28,838.464,True,8.8,True,0.0,0.0,-1.0
9935,163641683,95.29,331.6092,True,3.48,False,0.00010495382031905365,1.0,1.0
9934,163641684,95.29,114.348,True,1.2,False,0.0,0.0,1.0
9933,163641685,95.29,778.5193,True,8.17,False,0.0,0.0,1.0
9932,163641686,95.29,1047.2371,True,10.99,False,0.0,0.0,1.0
9931,163641687,95.29,95.29,True,1.0,False,0.0,0.0,1.0
9930,163641688,95.29,95.29,True,1.0,False,0.0,0.0,1.0
9929,163641689,95.29,190.58,True,2.0,False,0.0,0.0,1.0
9928,163641690,95.29,108.6306,True,1.14,True,0.0,0.0,1.0
9927,163641691,95.29,190.58,True,2.0,True,0.0,0.0,1.0
9926,163641692,95.29,6001.3642,True,62.98,True,0.0,0.0,1.0
9925,163641693,95.29,40.9747,True,0.43,True,0.0,0.0,1.0
9924,163641694,95.29,149.6053,True,1.57,True,0.0,0.0,1.0
9923,163641695,95.28,60.0264,True,0.63,False,-0.00010494280617068252,-1.0,-1.0
9922,163641696,95.28,286.7928,True,3.01,False,0.0,0.0,-1.0
9921,163641697,95.28,59.0736,True,0.62,False,0.0,0.0,-1.0
9920,163641698,95.27,18.1013,True,0.19,True,-0.00010495382031916467,-1.0,-1.0
9919,163641699,95.27,17.1486,True,0.18,True,0.0,0.0,-1.0
9918,163641700,95.28,332.5272,True,3.49,False,0.00010496483677968627,1.0,1.0
9917,163641701,95.28,75.2712,True,0.79,False,0.0,0.0,1.0
9916,163641702,95.28,13.3392,True,0.14,True,0.0,0.0,1.0
9915,163641703,95.29,246.8011,True,2.59,False,0.00010495382031905365,1.0,1.0
9914,163641704,95.29,304.928,True,3.2,False,0.0,0.0,1.0
9913,163641705,95.3,295.43,True,3.1,False,0.0001049428061705715,1.0,1.0
9912,163641706,95.3,2093.741,True,21.97,False,0.0,0.0,1.0
9911,163641707,95.3,707.126,True,7.42,False,0.0,0.0,1.0
9910,163641708,95.3,47.65,True,0.5,False,0.0,0.0,1.0
9909,163641709,95.31,60.9984,True,0.64,False,0.00010493179433379574,1.0,1.0
9908,163641710,95.3,600.39,True,6.3,True,-0.00010492078480750511,-1.0,-1.0
9907,163641711,95.3,15.248,True,0.16,True,0.0,0.0,-1.0
9906,163641712,95.29,734.6859,True,7.71,True,-0.00010493179433357369,-1.0,-1.0
9905,163641713,95.29,4982.7141,True,52.29,True,0.0,0.0,-1.0
9904,163641714,95.29,135.3118,True,1.42,True,0.0,0.0,-1.0
9903,163641715,95.29,5662.1318,True,59.42,True,0.0,0.0,-1.0
9902,163641716,95.29,95.29,True,1.0,False,0.0,0.0,-1.0
9901,163641717,95.29,635.5843,True,6.67,False,0.0,0.0,-1.0
9900,163641718,95.29,1729.5135,True,18.15,False,0.0,0.0,-1.0
9899,163641719,95.3,242.062,True,2.54,False,0.0001049428061705715,1.0,1.0
9898,163641720,95.3,28.59,True,0.3,True,0.0,0.0,1.0
9897,163641721,95.3,497.466,True,5.22,False,0.0,0.0,1.0
9896,163641722,95.3,607.061,True,6.37,False,0.0,0.0,1.0
9895,163641723,95.3,95.3,True,1.0,False,0.0,0.0,1.0
9894,163641724,95.3,190.6,True,2.0,False,0.0,0.0,1.0
9893,163641725,95.3,95.3,True,1.0,False,0.0,0.0,1.0
9892,163641726,95.3,297.336,True,3.12,False,0.0,0.0,1.0
9891,163641727,95.3,199.177,True,2.09,False,0.0,0.0,1.0
9890,163641728,95.31,2299.8303,True,24.13,False,0.00010493179433379574,1.0,1.0
9889,163641729,95.31,1868.076,True,19.6,False,0.0,0.0,1.0
9888,163641730,95.31,833.9625,True,8.75,False,0.0,0.0,1.0
9887,163641731,95.31,95.31,True,1.0,False,0.0,0.0,1.0
